date,open,high,low,close,volume
1962-01-02,11.3244,11.3244,11.1972,11.1972,387200
1962-01-03,11.1972,11.2950,11.1972,11.2950,288000
1962-01-04,11.2950,11.2950,11.1776,11.1825,256000
1962-01-05,11.1678,11.1678,10.9427,10.9622,363200
1962-01-08,10.9525,10.9525,10.6686,10.7567,544000
1962-01-09,10.8056,11.0210,10.8056,10.8839,491200
1962-01-10,10.9035,10.9525,10.9035,10.9035,299200
1962-01-11,10.9329,11.0210,10.9329,11.0210,315200
1962-01-12,11.0405,11.1188,11.0405,11.0405,435200
1962-01-15,11.0797,11.1140,11.0797,11.0895,251200
1962-01-16,11.0797,11.0797,10.9720,10.9720,251200
1962-01-17,10.9231,10.9231,10.7665,10.7959,419200
1962-01-18,10.8252,10.9329,10.8252,10.8252,371200
1962-01-19,10.8252,10.8546,10.7078,10.8350,400000
1962-01-22,10.8350,10.9427,10.8056,10.8154,275200
1962-01-23,10.8105,10.8252,10.6882,10.7078,371200
1962-01-24,10.7078,10.7665,10.6539,10.7665,408000
1962-01-25,10.7665,10.8546,10.6295,10.6490,315200
1962-01-26,10.6490,10.6882,10.5903,10.5952,243200
1962-01-29,10.5952,10.6686,10.4141,10.4141,579200
1962-01-30,10.4141,10.4729,10.2820,10.2820,736000
1962-01-31,10.3848,10.6099,10.3848,10.6099,760000
1962-02-01,10.7176,10.8839,10.7176,10.8546,640000
1962-02-02,10.8546,10.9231,10.8056,10.9231,507200
1962-02-05,10.9231,10.9231,10.7273,10.7861,312000
1962-02-06,10.7861,10.8056,10.7469,10.7959,256000
1962-02-07,10.8056,10.8644,10.8056,10.8056,251200
1962-02-08,10.8056,10.8644,10.8056,10.8154,16000
1962-02-09,10.8154,10.8937,10.7665,10.8937,432000
1962-02-12,10.8937,10.9818,10.8839,10.9035,280000
1962-02-13,10.9035,10.9133,10.7273,10.7273,256000
1962-02-14,10.7273,10.7665,10.6882,10.7078,208000
1962-02-15,10.7078,10.7078,10.6588,10.6686,227200
1962-02-16,10.6686,10.7078,10.6588,10.6588,219200
1962-02-19,10.6588,10.7078,10.5316,10.5512,280000
1962-02-20,10.5561,10.6099,10.5561,10.5561,288000
1962-02-21,10.5561,10.6295,10.4778,10.4778,363200
1962-02-23,10.4924,10.5316,10.4924,10.5120,288000
1962-02-26,10.5120,10.5218,10.4533,10.4729,299200
1962-02-27,10.4729,10.5609,10.4141,10.4924,347200
1962-02-28,10.4924,10.5120,10.4337,10.5120,267200
1962-03-01,10.5512,10.6393,10.5512,10.6393,280000
1962-03-02,10.7273,10.7861,10.7273,10.7273,243200
1962-03-05,10.7273,10.7273,10.6490,10.6882,360000
1962-03-06,10.6882,10.7371,10.6686,10.6980,184000
1962-03-07,10.6980,10.7322,10.6686,10.7322,123200
1962-03-08,10.7322,10.7567,10.6686,10.7567,184000
1962-03-09,10.7665,10.8252,10.7665,10.8252,288000
1962-03-12,10.8252,10.8546,10.7861,10.8154,280000
1962-03-13,10.8154,10.8154,10.7665,10.8056,123200
1962-03-14,10.8056,10.8350,10.7665,10.7861,195200
1962-03-15,10.7861,10.8448,10.7665,10.7665,243200
1962-03-16,10.7665,10.8154,10.7665,10.8154,160000
1962-03-19,10.8350,10.8839,10.8350,10.8448,371200
1962-03-20,10.8252,10.8252,10.7763,10.7763,160000
1962-03-21,10.7763,10.8056,10.7469,10.7861,256000
1962-03-22,10.7469,10.7469,10.6686,10.6686,240000
1962-03-23,10.6784,10.7273,10.6784,10.7078,184000
1962-03-26,10.7078,10.7469,10.6882,10.7029,131200
1962-03-27,10.6784,10.6784,10.4924,10.5022,347200
1962-03-28,10.5120,10.5903,10.5120,10.5609,328000
1962-03-29,10.5609,10.6099,10.5316,10.5316,227200
1962-03-30,10.5120,10.5120,10.3799,10.4288,435200
1962-04-02,10.4239,10.4239,10.2869,10.2869,371200
